Country,Year,Status,Adult_Mortality,BMI,Alcohol,HIV_AIDS,Total_expenditure,Income_composition_of_resources,Schooling,Life_expectancy
Canada,2024,Developed,91,23.019938398815036,4.499131046655339,1.0801572019653611,7.845312970138329,0.5425847899183325,12.046433486263627,90.0
Germany,2005,Developed,215,21.950533491952815,8.94122932857459,4.8363559518514885,6.703710338965596,0.6206108704668907,16.947497601372724,90.0
France,2025,Developed,131,22.77707648144813,6.507658842828663,3.57562509908444,14.811972870910571,0.6764343726227818,16.698824063610733,90.0
Brazil,2011,Developing,340,31.65920663604704,2.466082936183181,4.785674162698981,1.7829689017951593,0.42290047495592675,10.826091353797025,89.37575995516337
Canada,2022,Developed,207,,,2.135525226801716,2.9905392694229227,0.8855900246735438,8.567364211263863,90.0
South Africa,2020,Developing,265,24.88674580696863,8.200435231081952,2.3755017034586023,1.7395625147204348,0.738221516739249,,90.0
China,2009,Developing,207,33.40388703625245,13.536195499291551,4.489776080925096,9.761776729753262,0.7116247962693677,10.040936270886746,90.0
Canada,2021,Developed,183,,,2.6252467012269234,1.7631298837920741,0.36467254701741475,8.729269374776322,90.0
France,2020,Developed,116,26.099428767844458,10.995001608339349,3.5363945595283357,12.710156323265727,0.6927130598121847,8.491534856328565,90.0
Brazil,2024,Developing,385,21.842492962871994,9.879920324096505,1.2608643874776497,8.16714082954699,0.37862443045502,16.193818174236352,89.79969958554442
Germany,2005,Developed,56,28.888092716989348,,2.233632343513203,8.378106744141473,,5.908204968900602,90.0
France,2007,Developed,63,34.642678957971754,12.314715259487112,0.6172493290517755,8.862323107970719,0.6427520821675556,,90.0
France,2001,Developed,122,28.259382632737434,8.499078883581944,1.0299001793848084,3.3913918882869503,0.5618105971302216,7.246660668933879,90.0
China,2011,Developing,212,24.08283942993033,9.85545747351161,0.004717076338155435,3.767664243602826,0.6827266756015451,,90.0
Australia,2012,Developed,115,29.01289658183898,13.475796998760522,0.19632525824330116,5.463442520222065,,5.800059443752879,90.0
Brazil,2024,Developing,396,20.08965153391159,5.992781768804022,4.886419115884647,9.30894982150592,0.580138990850718,8.509657279121006,89.52137977588995
India,2020,Developing,179,33.10720436451177,4.901920587866661,1.2117684756838116,3.941648863163003,0.4136113647793527,14.989473924524148,90.0
France,2006,Developed,255,26.552427163257217,0.1621662545279451,3.3165535475200096,2.628644179865657,0.9416150558506757,16.50519921911436,90.0
Australia,2009,Developed,325,25.638945614673915,12.398266112871964,4.195498493998057,14.581636409858051,0.6647476380828633,7.879852974730772,90.0
India,2012,Developing,305,27.959701403709825,,,1.3077454073347208,,11.026121910365983,90.0
Brazil,2016,Developing,315,28.621325667419843,1.5668177715022709,0.765722500419781,12.237763674704302,0.511521882443695,11.114212623183683,90.0
USA,2025,Developed,74,19.22018870585072,8.652860716990503,,12.032492094050308,0.3615802946065737,16.356478974876545,90.0
South Africa,2020,Developing,330,29.60449276079784,6.959725472503311,3.001257050497915,5.160997593831344,0.9343160608092986,14.91638768738547,90.0
Australia,2025,Developed,302,22.112838565364,1.780636432636672,3.6562529467368754,2.8987726241023877,,11.670003838784648,84.6866032659707
Japan,2013,Developed,359,30.137194752612025,14.708523405910853,3.848733114285436,3.038801053875928,,13.719713606133054,90.0
